Compound_Position,Compound_Name,log2_shNC_mean,log2_shRB1_1_mean,log2_shRB1_1_mean_shNC_mean
SK01A01,ABT-263 (Navitoclax),-0.638179594,-0.731076407,0.092896813
SK01A02,JNJ-38877605,-0.06212845,-0.12042896,0.05830051
SK01A03,Nintedanib (BIBF 1120),-0.039170802,0.00674872,-0.045919521
SK01A04,SRT1720,0.153044905,-0.007131286,0.160176191
SK01A05,Dasatinib,-0.469162254,-0.231452571,-0.237709683
SK01A06,Andarine,0.006450555,-0.033625645,0.0400762
SK01A07,Motesanib Diphosphate (AMG-706),-0.005664522,0.002813404,-0.008477926
SK01A08,Paclitaxel,-2.701536889,-1.703803716,-0.997733173
SK01A09,STF-62247,0.009277214,0.047151381,-0.037874167
SK01A10,Ganetespib (STA-9090),-1.813790192,-1.273630191,-0.540160001
SK01A11,Elesclomol (STA-4783),-6.430337923,-4.745650831,-1.684687092
SK01A12,WZ3146,0.065347212,0.114939254,-0.049592042
SK01A13,GDC-0941,-0.050430541,-0.134666823,0.084236282
SK01A14,Regorafenib (BAY 73-4506),-0.193602436,-0.242723608,0.049121172
SK01A15,SB216763,-0.057288539,-0.137951943,0.080663405
SK01A16,Aprepitant,-0.195906269,-0.237375687,0.041469418
SK01A17,Iniparib (BSI-201),-0.015409698,0.007031531,-0.022441228
SK01A18,Finasteride,0.08929138,-0.05782515,0.14711653
SK01A19,Quisinostat (JNJ-26481585),-2.715854185,-1.843412743,-0.872441441
SK01A20,Bisoprolol fumarate,-0.071993274,-0.133664132,0.061670858
SK01A21,LY294002,0.044177949,0.02917653,0.015001419
SK01A22,PFI-1 (PF-6405761),-0.174614007,-0.01273067,-0.161883337
SK01A23,DMSO,0.059947031,0.130932135,-0.070985103
SK01A24,DMSO,0.426920402,0.607543606,-0.180623204
SK01B01,Etoposide,-2.559647424,-1.324353022,-1.235294402
SK01B02,Drospirenone,-0.068695072,-0.157128485,0.088433414
SK01B03,Letrozole,-0.056614351,-0.12325725,0.066642899
SK01B04,Naftopidil DiHCl,0.033753535,-0.143338323,0.177091859
SK01B05,Dienogest,0.007076516,-0.008105591,0.015182107
SK01B06,Rocuronium Bromide,0.020225575,-0.097818919,0.118044494
SK01B07,Celecoxib,0.08551645,0.084888402,0.000628049
SK01B08,Alfuzosin HCl ,0.01533204,-0.021346052,0.036678092
SK01B09,BX-912,-0.038522429,0.197139643,-0.235662072
SK01B10,Tianeptine sodium,0.026948032,-0.163343975,0.190292007
SK01B11,Budesonide,0.009386793,-0.046203555,0.055590348
SK01B12,Zonisamide,0.001910636,0.013084047,-0.01117341
SK01B13,Floxuridine,0.152742826,0.383125352,-0.230382525
SK01B14,VX-745,-0.006279204,-0.000130502,-0.006148702
SK01B15,Dexamethasone (DHAP),-0.016264872,-0.083098206,0.066833334
SK01B16,"TSU-68 (SU6668, Orantinib)",-0.020726241,-0.035118124,0.014391883
SK01B17,Fluoxetine HCl,0.010359972,-0.018693236,0.029053208
SK01B18,Iloperidone,0.05770272,0.037351756,0.020350964
SK01B19,Ketoconazole,-0.041931552,-0.085054054,0.043122503
SK01B20,Fludarabine,-4.527393747,-1.002454167,-3.524939579
SK01B21,Ki8751,-0.022750889,0.015887965,-0.038638854
SK01B22,Tadalafil,-0.117055207,-0.133283196,0.016227989
SK01B23,DMSO,-0.095794585,-0.287537207,0.191742622
SK01B24,DMSO,0.0706821,0.147953849,-0.077271749
SK01C01,ABT-737,-0.383674115,-0.888313165,0.50463905
SK01C02,Odanacatib (MK-0822),-0.078933762,-0.131954324,0.053020563
SK01C03,Afatinib (BIBW2992),0.03733883,-0.041659051,0.078997881
SK01C04,YM155 (Sepantronium Bromide),-3.743446653,-3.796571072,0.053124419
SK01C05,"Ridaforolimus (Deforolimus, MK-8669)",0.204837453,0.189005751,0.015831702
SK01C06,17-AAG (Tanespimycin),-1.951685734,-1.399275939,-0.552409794
SK01C07,Nilotinib (AMN-107),-0.034541112,-0.088883134,0.054342022
SK01C08,PLX-4720,-0.054030064,-0.028974264,-0.0250558
SK01C09,Sunitinib Malate,-0.098211877,-0.185020124,0.086808247
SK01C10,PA-824,-0.167919853,-0.142232113,-0.02568774
SK01C11,Entinostat (MS-275),-2.103839978,-1.140087834,-0.963752144
SK01C12,CYC116,0.012625204,0.097529599,-0.084904395
SK01C13,SL-327,-0.07006923,-0.068875931,-0.001193299
SK01C14,WZ8040,0.215809924,0.151772277,0.064037647
SK01C15,SB203580,-0.079297199,-0.158440235,0.079143036
SK01C16,Bicalutamide,-0.146072083,-0.176408836,0.030336753
SK01C17,"Refametinib (RDEA119, Bay 86-9766)",0.003467789,0.015965762,-0.012497973
SK01C18,Irinotecan,-0.910194907,-0.460496856,-0.449698051
SK01C19,BTZ043 Racemate,-0.124337087,-0.329042516,0.204705429
SK01C20,Tivozanib (AV-951),-0.095462005,-0.245279965,0.14981796
SK01C21,OSU-03012 (AR-12),-0.528530271,-0.413566617,-0.114963654
SK01C22,Clofarabine,-2.216058939,-1.979557062,-0.236501877
SK01C23,DMSO,-0.135002682,-0.196571712,0.06156903
SK01C24,DMSO,0.031526857,0.165501827,-0.133974971
SK01D01,KU-0063794,0.153236694,0.166710876,-0.013474182
SK01D02,Ruxolitinib (INCB018424),-0.12969172,-0.266080321,0.136388601
SK01D03,Temozolomide,-0.100774822,-0.222418534,0.121643711
SK01D04,Omeprazole ,-0.110882861,-0.157491094,0.046608233
SK01D05,Entecavir Hydrate,-0.152310506,-0.189408288,0.037097782
SK01D06,Stavudine (d4T),-0.177705248,-0.247955984,0.070250736
SK01D07,Avagacestat (BMS-708163),-0.138970796,-0.143852791,0.004881995
SK01D08,Clopidogrel,-0.113005318,-0.095485517,-0.017519801
SK01D09,Adapalene,-0.174386467,-0.063820142,-0.110566325
SK01D10,Tizanidine HCl,-0.109138283,-0.162593705,0.053455422
SK01D11,Bumetanide,-0.09461541,-0.047852617,-0.046762793
SK01D12,Aurora A Inhibitor I,-4.066483805,-2.451554274,-1.614929531
SK01D13,FT-207 (NSC 148958),-0.076332013,-0.033052114,-0.043279899
SK01D14,Thiazovivin,0.027768716,0.008769934,0.018998783
SK01D15,Doxazosin Mesylate,-0.11353309,-0.092612848,-0.020920241
SK01D16,Safinamide Mesylate,0.006583348,-0.06589134,0.072474688
SK01D17,Flupirtine maleate,-0.076363138,-0.067985013,-0.008378126
SK01D18,MC1568,-0.053903342,-0.008937598,-0.044965745
SK01D19,Lansoprazole,-0.044654651,-0.106748126,0.062093475
SK01D20,Pralatrexate ,-2.65995198,-3.119857519,0.459905539
SK01D21,"Epothilone B (EPO906, Patupilone)",-2.59430567,-0.993100248,-1.601205422
SK01D22,Cyclosporine ,-0.06962395,-0.166858997,0.097235047
SK01D23,DMSO,-0.145365627,-0.189636123,0.044270496
SK01D24,DMSO,0.413910392,0.4005007,0.013409692
SK01E01,Linifanib (ABT-869),-0.234849603,-0.381129691,0.146280089
SK01E02,Triciribine,-0.055988777,-0.305198466,0.249209688
SK01E03,BMS-536924,-0.099760123,-0.141573462,0.041813339
SK01E04,INO-1001,-0.155180024,-0.225031187,0.069851163
SK01E05,Erlotinib HCl (OSI-744),-0.130665661,-0.267695803,0.137030142
SK01E06,17-DMAG (Alvespimycin) HCl,-2.050512222,-1.229288618,-0.821223604
SK01E07,NVP-AEW541,-0.094400543,-0.205390475,0.110989933
SK01E08,"Roscovitine (Seliciclib,CYC202)",-0.298100792,-0.248743815,-0.049356977
SK01E09,"Temsirolimus (CCI-779, NSC 683864)",0.205213083,0.066781658,0.138431425
SK01E10,AT13387,-1.863536571,-1.059018674,-0.804517896
SK01E11,Enzastaurin (LY317615),-0.101709932,-0.188531776,0.086821843
SK01E12,JNJ-26854165 (Serdemetan),-0.01860072,-0.111259983,0.092659263
SK01E13,SB431542,-0.084707672,-0.198028231,0.113320559
SK01E14,XAV-939,-0.150844128,-0.218484366,0.067640238
SK01E15,SB202190 (FHPI),-0.115399453,-0.119920511,0.004521059
SK01E16,Fulvestrant,-0.184731363,-0.233161117,0.048429754
SK01E17,PCI-24781 (Abexinostat),-2.198525181,-1.067304578,-1.131220603
SK01E18,Cladribine,0.023386591,-0.036282418,0.05966901
SK01E19,"Rucaparib (AG-014699,PF-01367338)",-0.087400194,-0.181009001,0.093608806
SK01E20,Doxorubicin (Adriamycin),-4.906676428,-4.149319705,-0.757356722
SK01E21,Danusertib (PHA-739358),0.01466055,0.111763346,-0.097102796
SK01E22,YM201636,0.031598718,-0.117612793,0.149211511
SK01E23,DMSO,-0.117849469,-0.21949754,0.101648071
SK01E24,DMSO,0.585628444,0.559553832,0.026074612
SK01F01,Raloxifene HCl,-0.243377967,-0.277016729,0.033638762
SK01F02,Isotretinoin,-0.022468814,-0.112708222,0.090239408
SK01F03,Vincristine,-2.676043652,-1.502068244,-1.173975408
SK01F04,Ondansetron HCl,0.013165005,-0.226574528,0.239739533
SK01F05,Nepafenac,-0.076014236,-0.251556905,0.175542669
SK01F06,Tenofovir Disoproxil Fumarate,-0.159702428,-0.235535297,0.075832868
SK01F07,CHIR-99021 (CT99021),-0.184228382,-0.344715807,0.160487425
SK01F08,Droxinostat,-0.131542689,-0.193041308,0.061498619
SK01F09,Altretamine,-0.265680569,-0.309239165,0.043558595
SK01F10,Topiramate,-0.158005302,-0.259933092,0.10192779
SK01F11,Carmofur,0.098672531,0.298538919,-0.199866388
SK01F12,Ispinesib (SB-715992),-2.545061776,-0.646811797,-1.898249979
SK01F13,Ifosfamide,-0.105737868,-0.296887732,0.191149864
SK01F14,SP600125,-0.132376549,-0.320574381,0.188197832
SK01F15,Edaravone,-0.083308499,-0.256022554,0.172714055
SK01F16,GSK429286A,-0.039178447,-0.114790658,0.075612211
SK01F17,Fluvoxamine maleate,-0.116144939,-0.168726909,0.05258197
