Compound_Position,Compound_Name,log2_shNC_mean,log2_shRB1_1_mean,log2_shRB1_1_mean_shNC_mean
SK01A01,ABT-263 (Navitoclax),-0.053032804,-0.282451409,0.229418605
SK01A02,JNJ-38877605,-0.010302235,-0.132314441,0.122012206
SK01A03,Nintedanib (BIBF 1120),0.123071408,-0.312693237,0.435764644
SK01A04,SRT1720,-0.120088426,0.019694193,-0.139782619
SK01A05,Dasatinib,0.066173304,0.136599099,-0.070425795
SK01A06,Andarine,0.084455303,-0.294014445,0.378469748
SK01A07,Motesanib Diphosphate (AMG-706),-0.008274195,-0.182488702,0.174214507
SK01A08,Paclitaxel,0.363137871,0.321841896,0.041295975
SK01A09,STF-62247,-0.973533609,-0.904305179,-0.069228429
SK01A10,Ganetespib (STA-9090),-0.040016836,0.254061808,-0.294078644
SK01A11,Elesclomol (STA-4783),-4.960619169,-4.684006302,-0.276612867
SK01A12,WZ3146,-0.994494553,-0.897361871,-0.097132681
SK01A13,GDC-0941,-0.042889212,0.194469366,-0.237358578
SK01A14,Regorafenib (BAY 73-4506),-0.673692615,-0.612514064,-0.061178551
SK01A15,SB216763,0.113566076,0.265108541,-0.151542465
SK01A16,Aprepitant,0.323357829,0.449636998,-0.126279169
SK01A17,Iniparib (BSI-201),0.473221284,0.567905398,-0.094684113
SK01A18,Finasteride,0.470346324,0.641426347,-0.171080023
SK01A19,Quisinostat (JNJ-26481585),0.224671936,0.253501003,-0.028829067
SK01A20,Bisoprolol fumarate,0.498479434,0.395801953,0.10267748
SK01A21,LY294002,0.559776872,0.666072813,-0.106295941
SK01A22,PFI-1 (PF-6405761),0.451539742,0.612528087,-0.160988345
SK01A23,DMSO,0.425948716,0.544315581,-0.118366864
SK01A24,DMSO,0.276131764,0.562084055,-0.285952291
SK01B01,Etoposide,-0.374141937,-0.502379579,0.128237642
SK01B02,Drospirenone,-0.626416128,-0.543955801,-0.082460327
SK01B03,Letrozole,-0.102885859,-0.492001473,0.389115614
SK01B04,Naftopidil DiHCl,-0.328906308,-0.470052793,0.141146484
SK01B05,Dienogest,0.003728899,-0.32728243,0.331011329
SK01B06,Rocuronium Bromide,-0.170163434,-0.31451339,0.144349956
SK01B07,Celecoxib,-0.552952843,-0.669572649,0.116619806
SK01B08,Alfuzosin HCl ,-0.038956922,-0.185773713,0.14681679
SK01B09,BX-912,-0.184653934,-0.537708852,0.353054918
SK01B10,Tianeptine sodium,-0.211859563,-0.347405879,0.135546316
SK01B11,Budesonide,-0.114141129,-0.267600242,0.153459113
SK01B12,Zonisamide,-0.15405612,-0.114613122,-0.039442999
SK01B13,Floxuridine,-1.447955293,-1.216833411,-0.231121882
SK01B14,VX-745,-0.078857426,-0.394677883,0.315820457
SK01B15,Dexamethasone (DHAP),0.119629754,0.331595252,-0.211965498
SK01B16,"TSU-68 (SU6668, Orantinib)",-0.279308669,-0.111170131,-0.168138538
SK01B17,Fluoxetine HCl,-0.109175532,0.061157195,-0.170332727
SK01B18,Iloperidone,0.072418396,-0.021385943,0.093804339
SK01B19,Ketoconazole,-0.141146866,-0.217894714,0.076747849
SK01B20,Fludarabine,-1.611451931,-1.184138409,-0.427313523
SK01B21,Ki8751,-0.623602066,-0.626678533,0.003076467
SK01B22,Tadalafil,0.110688818,-0.085543471,0.196232289
SK01B23,DMSO,0.153888859,0.065929707,0.087959152
SK01B24,DMSO,0.400973913,0.417212746,-0.016238832
SK01C01,ABT-737,-0.208830323,-0.30381706,0.094986737
SK01C02,Odanacatib (MK-0822),-0.183156427,-0.018785154,-0.164371274
SK01C03,Afatinib (BIBW2992),-0.539265523,-0.212168012,-0.327097511
SK01C04,YM155 (Sepantronium Bromide),-2.27469471,-1.943256647,-0.331438063
SK01C05,"Ridaforolimus (Deforolimus, MK-8669)",-0.025235366,0.0043726,-0.029607966
SK01C06,17-AAG (Tanespimycin),0.042048425,0.303549971,-0.261501546
SK01C07,Nilotinib (AMN-107),-0.264665983,-0.569264674,0.304598691
SK01C08,PLX-4720,-0.166507336,-0.718700086,0.55219275
SK01C09,Sunitinib Malate,0.053582465,0.089595857,-0.036013392
SK01C10,PA-824,-0.080495723,-0.125083424,0.044587701
SK01C11,Entinostat (MS-275),-0.845789182,-1.12849155,0.282702368
SK01C12,CYC116,-0.440824353,-0.458319802,0.017495449
SK01C13,SL-327,-0.236229102,-0.279863079,0.043633976
SK01C14,WZ8040,-0.344474439,-1.059144991,0.714670551
SK01C15,SB203580,-1.02439377,-0.855948652,-0.168445118
SK01C16,Bicalutamide,-0.370172808,-0.237673046,-0.132499762
SK01C17,"Refametinib (RDEA119, Bay 86-9766)",-0.629526856,-0.793182525,0.163655669
